,timestamp_s,timestamp_ms,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu1_mag_x,imu1_mag_y,imu1_mag_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu2_mag_x,imu2_mag_y,imu2_mag_z,high_g_accel_x,high_g_accel_y,high_g_accel_z,baro1_temp,baro1_pres,baro2_temp,baro2_pres,gps_lat,gps_long,gps_alt,battery_voltage,pyro_cont,heading,vtg,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q_x,q_y,q_z,q_w,state,baro_pres_avg,gps_lat_mod,gps_long_mod,imu1_accel_x_real,imu1_accel_y_real,imu1_accel_z_real,imu2_accel_x_real,imu2_accel_y_real,imu2_accel_z_real,imu1_gyro_x_real,imu1_gyro_y_real,imu1_gyro_z_real,imu2_gyro_x_real,imu2_gyro_y_real,imu2_gyro_z_real,imu1_mag_x_real,imu1_mag_y_real,imu1_mag_z_real,imu2_mag_x_real,imu2_mag_y_real,imu2_mag_z_real,imu_accel_x_avg,imu_accel_y_avg,imu_accel_z_avg,imu_gyro_x_avg,imu_gyro_y_avg,imu_gyro_z_avg,imu_mag_x_avg,imu_mag_y_avg,imu_mag_z_avg,high_g_accel_x_real,high_g_accel_y_real,high_g_accel_z_real,baro_temp_avg
34081,4332315,0,6,1337,13,-56,113,80,3936,-1403,-3304,-7,1350,-3,37,16,10,3979,1284,-639,-192,-16,-3920,34.87,0.9887984209227731,32.52,0.9982531458179128,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.993525783370343,38.999776204427086,-76.1046630859375,0.0430708068,9.5976114486,0.0933200814,-0.050249274600000005,9.69093153,-0.0215354034,-0.06841668890000001,0.13805510438750002,0.09773812700000001,0.0452038837375,0.0195476254,0.012217265875000001,2.28288,-0.81374,-1.91632,2.30782,0.74472,-0.37062,-0.0035892339000000023,9.6442714893,0.035892339,-0.011606402581250005,0.07880136489375,0.0549776964375,2.29535,-0.034509999999999985,-1.14347,-5.64864,-0.47072,-115.3264,33.695
34082,4332466,0,8,1336,11,-37,101,69,3862,-1417,-3239,-6,1348,-4,36,14,-12,3974,1309,-671,-224,-64,-3856,34.87,0.9887984209227731,32.53,0.9982630150505798,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9935307179866765,38.999776204427086,-76.1046630859375,0.0574277424,9.590432980800001,0.07896314580000001,-0.0430708068,9.6765745944,-0.0287138712,-0.0452038837375,0.12339438533750001,0.0842991345375,0.04398215715,0.017104172225000002,-0.01466071905,2.23996,-0.82186,-1.87862,2.30492,0.75922,-0.38918,0.007178467800000001,9.6335037876,0.025124637300000002,-0.0006108632937499997,0.07024927878125001,0.03481920774375,2.27244,-0.031320000000000014,-1.1339,-6.59008,-1.88288,-113.44352,33.7
34083,4332616,0,10,1343,16,-45,122,73,3862,-1417,-3239,-1,1349,1,43,9,-2,3966,1320,-621,-176,-16,-3968,34.88,0.9889958055761164,32.52,0.9983814458425856,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.993688625709351,38.999776204427086,-76.1046630859375,0.071784678,9.6406822554,0.1148554848,-0.0071784678,9.683753062200001,0.0071784678,-0.0549776964375,0.149050643675,0.0891860408875,0.0525342432625,0.0109955392875,-0.002443453175,2.23996,-0.82186,-1.87862,2.30028,0.7656000000000001,-0.36018,0.0323031051,9.6622176588,0.061016976300000005,-0.0012217265874999994,0.08002309148125,0.04337129385625,2.27012,-0.02812999999999999,-1.1194,-5.17792,-0.47072,-116.73856,33.7
34084,4332767,0,6,1344,19,-40,105,90,3877,-1404,-3275,-3,1348,2,33,9,13,3993,1295,-675,-208,-32,-3936,34.88,0.9889859363434492,32.52,0.9984110535405872,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936984949420182,38.999776204427086,-76.1046630859375,0.0430708068,9.6478607232,0.1363908882,-0.0215354034,9.6765745944,0.0143569356,-0.048869063500000004,0.1282812916875,0.109955392875,0.0403169773875,0.0109955392875,0.0158824456375,2.24866,-0.81432,-1.8995,2.31594,0.7511,-0.3915,0.0107677017,9.6622176588,0.0753739119,-0.004276043056250001,0.0696384154875,0.06291891925625,2.2823,-0.03161000000000003,-1.1455,-6.11936,-0.94144,-115.79712,33.7
34085,4332917,0,9,1343,17,-60,106,88,3877,-1401,-3324,-7,1345,-1,28,13,2,3993,1295,-675,-144,-32,-3872,34.87,0.9890155440414508,32.53,0.9984801381692572,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.993747841105354,38.999776204427086,-76.1046630859375,0.0646062102,9.6406822554,0.12203395260000001,-0.050249274600000005,9.655039191,-0.0071784678,-0.07330359525,0.129503018275,0.1075119397,0.034208344450000004,0.0158824456375,0.002443453175,2.24866,-0.81258,-1.92792,2.31594,0.7511,-0.3915,0.007178467799999998,9.6478607232,0.0574277424,-0.0195476254,0.07269273195624999,0.0549776964375,2.2823,-0.03073999999999999,-1.15971,-4.23648,-0.94144,-113.91424,33.7
34086,4333067,0,7,1345,13,-55,105,74,3886,-1398,-3217,-6,1346,2,33,10,-10,3981,1316,-662,-256,-32,-3824,34.88,0.9889464594127808,32.52,0.9985097458672588,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9937281026400198,38.999776204427086,-76.1046630859375,0.050249274600000005,9.655039191,0.0933200814,-0.0430708068,9.6622176588,0.0143569356,-0.06719496231250001,0.1282812916875,0.090407767475,0.0403169773875,0.012217265875000001,-0.012217265875000001,2.25388,-0.81084,-1.86586,2.30898,0.76328,-0.38396,0.0035892339000000023,9.6586284249,0.0538385085,-0.013438992462500004,0.07024927878125,0.039095250799999995,2.2814300000000003,-0.023780000000000023,-1.12491,-7.53152,-0.94144,-112.50208,33.7
34087,4333218,0,11,1341,12,-53,99,68,3905,-1389,-3255,-3,1346,1,38,6,-10,3965,1312,-636,-272,-208,-3840,34.87,0.9887984209227731,32.51,0.9984307920059216,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936146064643474,38.999776204427086,-76.1046630859375,0.07896314580000001,9.626325319800001,0.0861416136,-0.0215354034,9.6622176588,0.0071784678,-0.0647515091375,0.12095093216250001,0.08307740795,0.046425610325000005,0.007330359525,-0.012217265875000001,2.2649,-0.80562,-1.8879,2.2997,0.76096,-0.36888,0.028713871200000005,9.6442714893,0.0466600407,-0.009162949406249996,0.06414064584375001,0.0354300710375,2.2823,-0.022330000000000017,-1.12839,-8.00224,-6.11936,-112.9728,33.69
34088,4333368,0,11,1343,15,-38,115,84,3905,-1389,-3255,-2,1344,1,30,11,6,3971,1328,-641,-176,-80,-3824,34.88,0.988837897853442,32.52,0.9983814458425856,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936096718480139,38.999776204427086,-76.1046630859375,0.07896314580000001,9.6406822554,0.107677017,-0.0143569356,9.6478607232,0.0071784678,-0.046425610325000005,0.14049855756250001,0.10262503335,0.036651797625,0.0134389924625,0.007330359525,2.2649,-0.80562,-1.8879,2.3031800000000002,0.77024,-0.37178,0.03230310510000001,9.6442714893,0.0574277424,-0.004886906350000001,0.0769687750125,0.0549776964375,2.28404,-0.017689999999999984,-1.12984,-5.17792,-2.3536,-112.50208,33.7
34089,4333519,0,6,1345,17,-31,101,85,3923,-1380,-3241,-9,1343,0,45,11,7,3971,1328,-641,-240,-16,-3904,34.87,0.9891339748334568,32.54,0.9981248457932396,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9936294103133482,38.999776204427086,-76.1046630859375,0.0430708068,9.655039191,0.12203395260000001,-0.0646062102,9.6406822554,0.0,-0.0378735242125,0.12339438533750001,0.1038467599375,0.0549776964375,0.0134389924625,0.008552086112500001,2.27534,-0.8004,-1.87978,2.3031800000000002,0.77024,-0.37178,-0.0107677017,9.6478607232,0.061016976300000005,0.0085520861125,0.06841668890000001,0.056199423025,2.28926,-0.015079999999999982,-1.12578,-7.0608,-0.47072,-114.85568,33.705
34090,4333669,0,5,1344,16,-52,104,76,3924,-1404,-3274,-10,1349,3,28,5,3,3971,1320,-653,-176,-16,-3920,34.88,0.9887786824574388,32.54,0.9980754996299038,3859.986572265625,-7606.27978515625,20.200000762939453,12.194717407226562,0,0.0,0.0,0.0,0.0,3.803680391952774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.9934270910436713,38.999776204427086,-76.1046630859375,0.035892339,9.6478607232,0.1148554848,-0.071784678,9.683753062200001,0.0215354034,-0.06352978255,0.1270595651,0.09285122065000001,0.034208344450000004,0.0061086329375000005,0.0036651797625,2.27592,-0.81432,-1.89892,2.3031800000000002,0.7656000000000001,-0.37874,-0.0179461695,9.665806892700001,0.0681954441,-0.014660719049999996,0.06658409901875,0.048258200206250004,2.28955,-0.024359999999999993,-1.13883,-5.17792,-0.47072,-115.3264,33.71
